ts,frame,x,y,z,v
1680172389908,0,8.464605102632969e-35,1.1136444068979526e-34,9.706862711218414e-35,1.6854031372223603e-34
1680172389944,1,1.4296062681394445e-34,6.583816437204713e-35,1.0233501399542329e-34,6.583799792021034e-35
1680172389944,1,2.821635861932813e-35,6.846965885698778e-35,3.877031998271377e-34,1.401298464324817e-45
1680172390009,2,8.464574682124867e-35,1.5875986781972102e-34,8.013161318563218e-35,1.0534580629865197e-34
1680172390540,3,1.361900892980076e-34,7.712299049600023e-35,1.865956314443779e-34,1.2340161763658568e-34
1680172390808,4,1.5800694302503271e-34,8.727947405668966e-35,1.1211549433624935e-34,7.411330021872544e-35
1680172390841,5,1.3619010077744463e-34,8.916000673067237e-35,1.504844335076802e-34,1.4521826473374443e-34
1680172390874,6,8.803140588007576e-35,1.1888665174178526e-34,1.1888719127532519e-34,1.0083183911487227e-34
1680172390907,7,1.5274104975758542e-34,1.4672226613376087e-34,1.6402631210014527e-34,1.5048428427499894e-34
1680172390941,8,9.555473043745668e-35,1.1136415370386977e-34,1.038402781335119e-34,9.292126148934863e-35
1680172390975,9,1.0985861405929268e-34,9.066412292505901e-35,9.179248270747821e-35,1.264094712039373e-34
1680172391008,10,1.309234957849021e-34,1.7004480873804432e-34,1.4897928416396178e-34,6.470978163075389e-35
1680172391008,10,2.6147551698784514e-35,4.175812815714151e-35,3.877031998271377e-34,1.401298464324817e-45
1680172391041,11,6.245237903941282e-35,1.6703438377680027e-34,1.4747426109405058e-34,8.878412978461623e-35
1680172391041,11,4.401526098171262e-35,5.003821164117534e-35,3.877031998271377e-34,1.401298464324817e-45
1680172391075,12,5.003914147557394e-35,8.765513289344243e-35,1.5274040690911231e-34,6.320494797155352e-35
1680172391075,12,3.5739645868538734e-35,6.621353622287441e-35,3.877031998271377e-34,1.401298464324817e-45
1680172391107,13,1.4296115486804736e-34,8.013229621213485e-35,8.276492716134046e-35,7.298496339518028e-35
1680172391107,13,3.197800367886306e-35,7.110365585919874e-35,3.877031998271377e-34,1.401298464324817e-45
1680172391140,14,9.329740246245623e-35,1.2415260240641765e-34,1.5575005126863902e-34,1.0459275523015644e-34
1680172391342,15,8.502196815041541e-35,1.376943547250755e-34,1.2565745328477356e-34,1.3919973365753432e-34
1680172391342,15,1.188870190837699e-34,1.0308792731067458e-34,1.0910636655138853e-34,1.3919933187723863e-34
1680172391342,15,9.32976722292262e-35,9.292151977668158e-35,1.7681518554186289e-34,1.2866616780990167e-34
1680172391375,16,8.84072196892283e-35,1.331813173756944e-34,1.1738274217726498e-34,1.4446566136329267e-34
1680172391375,16,8.314101647698147e-35,1.376935396850471e-34,1.151247598743544e-34,1.3017174189278981e-34
1680172391375,16,1.0158342081542927e-34,1.9263487142497163e-34,1.2716339470964634e-34,8.803119925020941e-35
1680172391408,17,7.561796742608903e-35,8.878365912769842e-35,1.4747493838083475e-34,9.48025231075821e-35
1680172391408,17,1.6402581848435342e-34,1.0384065695493355e-34,1.6402631210014527e-34,1.0534445172508364e-34
1680172391408,17,1.188866173034742e-34,1.4446616645852154e-34,9.5930710698446e-35,1.0007909799117627e-34
1680172391441,18,1.4973193345216162e-34,1.2565721221659614e-34,9.104086082889164e-35,8.615028201508653e-35
1680172391441,18,2.633571115097522e-35,7.035093195465827e-35,3.877031998271377e-34,1.401298464324817e-45
1680172391475,19,1.241525679681066e-34,1.0459326032538531e-34,1.1813505856179124e-34,1.5198904331785869e-34
1680172391475,19,1.2039156001732626e-34,1.053448994231274e-34,9.141698458284372e-35,1.0308796174898564e-34
1680172391475,19,1.7531102342972817e-34,9.85747292491752e-35,1.3167575477224327e-34,1.0384019777745276e-34
1680172391508,20,1.384474402318821e-34,6.922329537677132e-35,1.2565830276311302e-34,4.157029012918736e-35
1680172391508,20,4.928640609159645e-35,7.147962464075104e-35,3.877031998271377e-34,1.401298464324817e-45
1680172391542,21,9.517851484800845e-35,1.7305341994823925e-34,7.373773895718734e-35,5.116699042304576e-35
1680172391542,21,3.517549754578094e-35,6.847033614377195e-35,3.877031998271377e-34,1.401298464324817e-45
1680172391574,22,1.188867320978444e-34,7.035191918624197e-35,1.7380605775700207e-34,1.6477897286778212e-34
1680172391807,23,1.3468607641855415e-34,1.5274140562013303e-34,9.63167928640127e-35,1.6929254975070315e-34
1680172391840,24,1.15124518806177e-34,1.2415333709038692e-34,9.066473133522106e-35,1.6327396127730794e-34
1680172391907,25,1.1888727163138433e-34,1.0684936000062464e-34,8.690297148131593e-35,1.339328416790663e-34
1680172391973,26,1.2565725813434422e-34,1.0685016356121602e-34,1.1587792573722013e-34,1.4973199084934672e-34
1680172392040,27,1.3167667312720485e-34,1.331811451841391e-34,1.4145595960658086e-34,1.008313914168285e-34
1680172392375,28,1.1286818954219727e-34,1.2039144522295607e-34,9.367355491500086e-35,6.546158718033278e-35
1680172392375,28,2.89688213666764e-35,6.847011229475006e-35,3.877031998271377e-34,1.401298464324817e-45
1680172392407,29,6.207643895645306e-35,1.3844641856198734e-34,1.4822757618959756e-34,8.840771330502015e-35
1680172392407,29,2.708816528874572e-35,9.932500229391195e-35,3.877031998271377e-34,1.401298464324817e-45
